InfoID,zip,phonenumber,m,age,serviceid,deviceid
1,98415,1-538-631-7356,m,18,5,1
2,98402,1-891-487-2900,m,42,10,8
3,98403,1-787-250-8731,m,73,7,7
4,98415,1-328-366-8454,f,80,8,1
5,98405,1-594-288-8277,f,57,3,9
6,98411,1-709-577-5936,m,75,10,2
7,98410,1-914-716-8760,f,61,10,6
8,98405,1-227-405-0946,m,18,1,2
9,98414,1-335-583-8376,m,72,4,6
10,98405,1-856-754-2511,f,62,5,8
11,98405,1-128-207-0032,f,75,3,10
12,98402,1-964-731-1358,m,51,8,7
13,98415,1-262-833-3954,m,56,3,7
14,98412,1-967-563-7303,f,57,6,3
15,98412,1-573-376-2103,m,47,3,3
16,98408,1-257-960-1003,m,69,9,3
17,98413,1-320-564-2593,m,59,8,1
18,98403,1-165-452-8013,f,64,7,9
19,98409,1-667-919-2641,m,63,7,8
20,98408,1-200-391-6800,f,20,3,4
21,98409,1-357-966-1630,f,23,9,2
22,98408,1-287-628-4998,m,30,4,7
23,98415,1-491-769-9712,m,61,5,6
24,98412,1-593-533-5377,m,45,2,4
25,98408,1-628-932-3963,m,69,10,8
26,98409,1-403-972-3293,m,74,4,6
27,98410,1-284-202-0779,m,76,6,8
28,98403,1-587-865-8140,m,76,9,9
29,98405,1-835-828-8973,m,40,1,10
30,98408,1-820-490-4419,f,60,3,3
31,98414,1-642-185-8308,f,43,10,7
32,98407,1-447-717-3131,f,22,7,2
33,98414,1-720-860-1138,f,42,8,10
34,98403,1-194-353-2564,f,35,7,2
35,98409,1-524-704-9507,f,70,2,2
36,98409,1-177-482-5997,f,33,4,4
37,98410,1-215-982-0677,m,24,3,4
38,98415,1-360-993-2041,m,44,8,4
39,98406,1-237-341-9481,m,42,2,5
40,98410,1-261-180-0449,m,58,10,3
41,98409,1-367-940-5498,f,41,8,3
42,98406,1-219-212-2695,m,64,9,7
43,98412,1-951-588-8883,m,21,7,2
44,98405,1-286-217-8089,f,68,2,4
45,98407,1-897-674-6507,m,40,9,8
46,98404,1-965-761-7343,f,24,1,8
47,98410,1-956-295-3957,f,43,1,6
48,98415,1-340-566-1318,f,69,8,9
49,98415,1-754-391-2247,m,57,10,4
50,98410,1-104-379-1566,f,78,8,6
51,98410,1-290-382-2141,f,62,4,7
52,98409,1-889-142-4176,f,80,8,8
53,98406,1-516-507-8838,m,22,1,3
54,98402,1-774-612-4819,m,21,5,6
55,98411,1-230-333-4595,f,54,9,3
56,98408,1-770-146-4725,m,54,9,3
57,98415,1-992-860-3126,m,25,3,5
58,98405,1-105-590-2668,f,61,3,10
59,98403,1-248-501-3713,f,40,7,9
60,98411,1-565-600-0663,m,55,1,9
61,98408,1-311-416-7719,f,38,3,9
62,98415,1-970-685-3278,f,39,9,7
63,98405,1-967-788-7195,f,48,1,2
64,98405,1-835-882-0834,m,48,4,9
65,98413,1-202-249-3176,f,48,7,5
66,98413,1-949-720-0012,m,37,2,6
67,98409,1-545-506-5266,m,23,4,8
68,98405,1-441-848-0664,f,23,4,3
69,98409,1-143-491-5394,m,54,5,6
70,98408,1-308-414-4337,m,18,2,5
71,98408,1-981-477-4257,f,57,10,7
72,98402,1-922-761-4195,m,42,1,7
73,98411,1-180-151-8300,m,43,5,3
74,98408,1-450-986-9083,f,35,7,1
75,98402,1-578-467-0347,m,51,2,1
76,98402,1-331-427-3693,f,36,10,4
77,98407,1-171-427-5432,m,66,4,8
78,98412,1-875-681-9884,f,29,10,10
79,98406,1-132-645-9195,f,52,8,5
80,98411,1-808-825-2076,f,18,4,7
81,98415,1-615-506-4345,f,49,2,5
82,98411,1-224-434-2725,f,69,7,4
83,98403,1-960-920-5888,m,68,7,10
84,98414,1-872-106-4488,f,56,5,6
85,98413,1-805-161-7559,f,53,3,8
86,98404,1-329-301-1207,m,28,3,6
87,98405,1-182-954-2305,m,78,1,5
88,98408,1-104-872-2975,m,59,4,2
89,98409,1-934-670-1429,m,61,2,10
90,98410,1-679-789-3941,m,77,10,3
91,98412,1-926-829-5375,f,58,1,10
92,98415,1-681-104-6996,m,68,1,2
93,98403,1-754-735-6549,m,76,10,2
94,98406,1-434-729-0041,f,79,10,2
95,98409,1-361-257-2361,m,36,5,8
96,98412,1-716-966-2159,f,49,7,1
97,98408,1-680-165-9089,f,55,10,4
98,98410,1-582-110-4553,f,50,7,5
99,98415,1-648-441-1003,f,26,3,6
100,98415,1-525-253-8436,f,52,3,10
